title,slug,content,External Link,Background Colour,Tag,Company,open_source
Kaggle,kaggle-models,"<p>Discover and use thousands of machine learning models, including the most popular diffusion models and LLMs.</p><p>Kaggle has recently introduced the ability for the community to publish models to Kaggle Models. There are a few ways to accomplish this including exclusively via the UI.</p>",https://www.kaggle.com/models,#E1F5FE,step2,google,no
SuperAnnotate,superannotate,"<p>No public datasets available.</p><p>Tools and resources for managing your own, private, datasets.</p>",https://superannotate.com/,#E6F0D6,step1,superannotate,no
Arize AI,arize-ai,Specialized in ML observability and model performance monitoring.,https://arize.com/,#E8EAF6,step7,arize,no
Plotly Dash,plotly-dash,Create analytical web applications. Can deploy to various platforms.,https://dash.plotly.com/,#E8F5E9,step5,plotly,yes
Paperspace,paperspace,"Paperspace Deployments are containers-as-a-service that allow you to run container images and serve machine learning models using a high-performance, low-latency service with a RESTful API.",https://paperspace.com/,#F0E4FC,step6,digital_ocean,no
RunPod,runpod,<p>Mostly an infra provider.</p><p>You can deploy Jupyter Lab from a template container and use popular Python libs to import and fine tune models.</p>,https://runpod.io?ref=4qeqqhe7,#F3E5F5,step3,runpod,no
Gradio,gradio,Create demos locally or deploy to Spaces/custom servers. Open source.,https://gradio.app/,#F5F5F5,step5,gradio,yes
Baseten,baseten,"Infrastructure to deploy and serve AI models performantly, scalably, and cost-efficiently",https://baseten.co/,#F8BBD0,step6,baseten,no
Labellerr,labellerr,"Although mostly focused on labelling data, they offer a few open datasets.",https://www.labellerr.com/datasets,#FCE4EC,step1,labellerr,no
Streamlit Cloud,streamlit-cloud,Python-native app framework with cloud hosting. Free for public apps.,https://streamlit.io/cloud,#FFD6D6,step5,streamlit,yes
Hugging Face,hugging-face-models,"<p>The Hugging Face Hub hosts many models for a variety of machine learning tasks.</p><p>Models are stored in repositories, so they benefit from all the features possessed by every repo on the Hugging Face Hub.</p><p>Additionally, model repos have attributes that make exploring and using models as easy as possible.</p>",https://huggingface.co/models,#FFE0B2,step2,hugging_face,no
Hugging Face,hugging-face-spaces,"<p>Hugging Face Spaces is a platform for hosting machine learning models and applications.</p><p>Spaces are built with Streamlit, a Python library for building web applications.</p>",https://huggingface.co/spaces,#FFE0B2,step3,hugging_face,no
Hugging Face Datasets,hugging-face-datasets,"<p>One of the main features of the Hugging Face Hub.</p><p>The Hugging Face Hub hosts a large number of community-curated datasets for a diverse range of tasks such as translation, automatic speech recognition, and image classification.</p><p>Alongside the information contained in the dataset card, many datasets include a Dataset Viewer to showcase the data.</p>",https://huggingface.co/datasets,#FFE0B2,step1,hugging_face,no
Hugging Face Hub,hugging-face-hub,"Built-in monitoring for models hosted on HF, includes: Inference API usage stats, Model performance metrics, Widget for tracking predictions",https://huggingface.co/docs/hub/models-widgets#model-monitoring,#FFE0B2,step7,hugging_face,no
Hugging Face Spaces,hugging-face-spaces-1,"<p>Hugging Face Spaces is a platform for hosting machine learning models and applications.</p><p>Spaces are built with Streamlit, a Python library for building web applications.</p>",https://huggingface.co/spaces,#FFE0B2,step4,hugging_face,no
Hugging Face Spaces,hugging-face-spaces-2,"<p>Hugging Face Spaces is a platform for hosting machine learning models and applications.</p><p>Spaces are built with Streamlit, a Python library for building web applications.</p>",https://huggingface.co/spaces,#FFE0B2,step5,hugging_face,no
Hugging Face Spaces,hugging-face-spaces-3,"<p>Hugging Face Spaces is a platform for hosting machine learning models and applications.</p><p>Spaces are built with Streamlit, a Python library for building web applications.</p>",https://huggingface.co/spaces,#FFE0B2,step6,hugging_face,no
Evidently AI,evidently-ai,Open-source tools for ML model and data monitoring.,https://www.evidentlyai.com/,#FFE0E0,step7,evidently,no
Weights & Biases,weights-and-biases-models,"<p>W&B Registry is a central repository that stores and provides versioning, aliases, lineage tracking, and governance of models.</p><p>Registry allows individuals and teams across the entire organization to share and collaboratively manage the lifecycle of all models, datasets and other artifacts.</p><p>This is meant for private use and W&B does not openly publish models for the wide audience. A minimum free plan is required.</p>",https://wandb.ai/,#FFF8E1,step2,weights_and_biases,no
Weights & Biases,weights-and-biases-2,Comprehensive ML monitoring with experiment tracking. Popular in research.,https://wandb.ai/,#FFF8E1,step7,weights_and_biases,no
Weights & Biases Tables,weights-and-biases,"They don't offer public datasets, but offer good tooling for maintaing private ones.",https://wandb.ai/site/tables,#FFF8E1,step1,weights_and_biases,no
MLFlow Model Registry,mlflow-model-registry,Private model registry build using the open-source MLFlow framework.,https://mlflow.org/docs/latest/model-registry/index.html,#FFE4CC,step2,mlflow,yes
